symbol,quantity,buyingRate,assetType,purchaseDate,currency
AAPL,10,175.50,STOCK,2024-06-15,USD
MSFT,5,380.25,STOCK,2024-07-01,USD
GOOGL,3,165.00,STOCK,2024-08-10,USD
JPM,8,195.40,STOCK,2024-05-20,USD
HSBA.L,50,6.85,STOCK,2024-04-12,GBP
BP.L,100,4.20,STOCK,2024-03-08,GBP
ULVR.L,25,38.50,STOCK,2024-07-22,GBP
RELIANCE.NS,5,985.00,STOCK,2024-06-01,INR
TCS.NS,4,3650.00,STOCK,2024-05-15,INR
INFY.NS,6,1420.00,STOCK,2024-08-05,INR
7203.T,20,2450.00,STOCK,2024-04-25,JPY
9984.T,5,8920.00,STOCK,2024-07-18,JPY
6758.T,10,12850.00,STOCK,2024-06-30,JPY
